Geography,Housing/Council Tax Benefits,Family Referals,Free School Meals,Special Educational Needs,Teenage Conceptions,No Students Awards,Older People Serv Clients,Domestic Fires,Neighbour Complaints,Council Rented,Violent Crime,Burglary Dwelling,Criminal Damage,Disabled Clients,ACE
Milton Keynes,165.2,23.9,111.7,41.2,27,840.3,58.8,12.6,14.3,133.3,18.6,13,23.6,4.8,964.9
Astwood,54.8,0,0,58.8,0,695.2,31.2,0,13.7,41.1,0,13.7,0,6.2,993.8
Bancroft,34.9,1.5,21.1,73.7,0,704.2,42.9,1.5,0,0,3.2,9.5,5.8,4.3,972
Bancroft Park,27.5,0,0,43.5,0,750,0,0,15.3,0,3.4,0,17.1,0,948.8
Beanhill,549.9,43.2,332.4,78.7,36.9,952.6,74.6,30.8,13.6,633.8,22.6,18.5,25.1,24.1,956.2
Blakelands,67.2,7.8,33.1,0,33.1,837,12.1,7.8,12.9,0,3.9,10.3,19.5,2.9,972.8
Blue Bridge,32.5,7.2,68.2,45.5,0,813,10.6,0,3.6,0,3.6,0,11.7,1.8,962.7
Bolbeck Park,189.7,17.9,0,72.3,0,816.2,81.1,5.1,7.7,166.7,0,12.8,12,7.7,969.1
Bow Brickhill,81.5,0,0,34.5,0,703.7,35.5,8.6,4.3,68.7,8.6,4.3,28.6,1.7,970.7
Bradville,209,34.9,204.7,56.4,19.1,835.2,36.4,8.6,11.9,214.1,19.7,9.9,24.3,6.4,979.5
Bradwell,162.8,19.7,94.7,34,31.8,861.4,54,9,22.2,157.9,11.2,6.6,16.8,5.4,968.1
Bradwell Common,172.6,36.9,110.6,59.7,14.3,836.2,13.1,12,14.4,110.6,23.5,16.1,19.6,5,964
Brickfields,129.4,16.1,69,33,10.8,863,48.6,8.3,14.1,0,8.3,12.7,7.3,3.1,965.5
Broughton & Atterbury,141.2,11.8,139.5,23.3,0,495.8,0,0,0,0,19,11.8,29.4,7.6,977.2
Browns Wood,189.1,25.6,57,31.6,0,927.5,15.6,6.8,17,0,9.1,1.7,9,4.9,957.1
Caldecotte,35.7,12.6,7.9,15.9,0,822.6,45.5,2.1,2.1,2.1,1.7,4.2,11.3,4.2,967.6
Calverton,313.7,0,0,0,0,437.5,45.5,29.4,9.8,0,3.7,0,0,0,937
Campbell Park,16.3,3.3,0,166.7,0,910.7,0,6.5,19.5,0,61.3,6.5,13.8,0,935.5
Castlethorpe,83.3,4.9,10,70,0,806.6,33.3,4.9,12.3,70.8,6.3,0,3.2,0,967.3
Central Bletchley,207.5,17.6,129.8,33.6,33.6,909.3,47.9,4.2,16.4,0,19,13.3,30.6,5.2,960.5
Central Milton Keynes,217.2,20.9,83.3,133.3,112.7,978.8,9.8,29,15.1,199.8,503.1,27.9,291.9,12.1,944.4
Clifton Reynes,18.5,0,0,0,0,619,35.7,0,55.6,0,0,0,0,0,928.6
Coffee Hall,375.7,43.1,259.9,69.1,58,943.3,83.6,14,29.1,388.6,46.1,20.5,43.6,21.4,968.9
Cold Brayfield,146.3,0,0,0,0,1000,47.6,24.4,0,0,0,24.4,0,14.3,985.7
Conniburrow,292.2,60.9,256.2,56.9,31.3,921.5,71.9,44.7,31.6,252.9,23.6,27,44.3,7.6,965.3
Crownhill,149.7,30.7,89.3,45.6,23.9,829.8,53.8,13.4,19.2,13.4,11.5,1.9,18.5,8.8,965.5
Denbigh East,67.7,6.2,43.5,87,0,797,139.1,12.3,12.3,0,9.6,18.5,36.8,0,988
Downhead Park,56.1,14.9,10.7,37.4,0,752.7,30.5,3.3,19.8,59.3,2.8,11.6,3.3,3.4,961.5
Downs Barn,224.3,19.9,112.1,35.4,22.3,860.6,71.8,7.3,24.1,188.7,9.4,4.2,15.2,3.5,969.5
Eaglestone,221.4,15.9,98.7,40.4,20.3,898.1,77.5,10.6,15.9,183.3,55.6,21.2,41.1,5.8,968.8
Emberton,114.8,7.4,18.9,18.9,0,523.8,45.8,14.8,0,107,6.5,18.5,8.3,3.2,980.6
Emerson Valley,103.8,18.6,44.2,23.5,16.4,865.6,54.9,4.9,8.8,21.2,10.9,9.8,11.1,4.8,950.4
Far Bletchley,187.1,33.7,109.8,50.5,25.1,863.4,57.6,12.4,15.3,0,11.3,9,21.6,2.8,973.1
Fenny Stratford,221.6,11.3,145.2,48.4,56.6,902.7,81,22.6,14.1,0,45.4,26.8,67.7,5.5,969.5
Fishermead,318.3,67.1,304.1,56.3,54.6,922.8,43.5,43.7,24,304.2,46.1,30.8,54.8,7.2,940
Fullers Slade,293.2,103.8,410.7,74.4,58.6,916.2,46.7,47.8,13.2,523.9,26.8,19.8,43.3,3.8,969.5
Furzton,135.6,19.4,59.4,38.8,38.2,836.1,37.9,8,6.7,27.4,10.9,16.4,12.9,4.3,963.8
Galley Hill,92,16.9,112.5,87.5,0,829.1,32.3,0,15.4,0,10.1,16.9,39.1,9,973.1
Gayhurst,18.5,0,0,0,0,771.4,0,0,0,0,0,0,15.4,0,984.6
Giffard Park,50.4,4.9,4.9,29.3,0,748.1,26.3,3.7,13.5,0,9.5,7.4,11,3.6,972
Grange Farm,0,47.6,37.7,18.9,0,0,133.3,0,142.9,0,0,0,25,2.2,973.9
Great Holm,92.1,7.5,24,37.9,13.7,691.1,51.8,12.4,13.3,36.5,6.4,9.1,10.6,4.4,948.8
