Geography,Housing/Council Tax Benefits,Family Referrals,Free School Meals,Special Eductional Needs,Teenage Conceptions,No Students Awards,Older People Serv Clients,Domestic Fires,Neighbour Complaints,Council Rented,Violent Crime,Burglary Dwelling,Criminal Damage,Disabled Clients,ACE
Milton Keynes,234.6,22.9,135.3,33,53.3,891,76.3,7.8,36.5,189.6,23.9,10.7,15,5.8,979.7
Astwood,52.6,26.7,0,0,0,778.7,41.1,26.7,0,39.5,0,0,13.3,0,993.3
Bancroft,103.6,9.6,72.1,36,0,844.9,81.3,9.6,21.7,0,8.9,12,7.8,3.5,974.4
Bancroft Park,145,7.6,58.8,0,0,783.3,47.2,0,15.3,0,6.7,15.3,6.7,0,946.7
Beanhill,613.5,58.3,464.2,95.6,161.8,956.3,104.4,16,37.4,644.9,33.8,4.8,22.4,29.8,987.6
Blakelands,126.6,10.3,28.6,0,0,854.1,49.8,0,5.2,0,8.4,15.5,13.7,1.6,988.4
Blue Bridge,111.9,3.6,50,25,0,865.5,10.6,3.6,14.4,0,1.8,7.2,1.8,2.8,978.2
Bolbeck Park,243.6,2.6,54.1,27,0,828.9,117.7,10.3,15.4,184.6,14.4,20.5,10,16.2,972.2
Bow Brickhill,92.4,0,54.5,90.9,0,862.3,41.1,4.2,21,63,11.7,4.2,8.3,6.2,988.3
Bradville,292.7,40.3,206.9,50.4,57.1,936.2,74.1,9.1,46.9,229,17.7,7.2,12,7.7,982.1
Bradwell,227.4,26.3,130.7,28.4,37.1,865.5,89.2,4.1,26.3,170.8,12.8,8.2,11,6,976.6
Bradwell Common,252.8,16,185.9,40.9,21.1,867.4,56.3,5.6,28,173.6,15.8,27.2,12.8,4.4,975.2
Brickfields,197.7,13.8,119.8,22.8,43.2,885.8,77.7,4.3,14.8,0,10.4,5.7,7.8,4.7,982.7
Broughton & Atterbury,157,28.2,187.8,35.9,37.7,919.4,14.2,3.9,38.6,90.2,19.5,11.3,12.7,2.3,979.5
Browns Wood,207.8,15.3,126.2,32.7,0,906,78.1,0,23.9,195.9,6.4,8.5,4.8,1.2,976
Caldecotte,85.9,5.1,23.7,17.8,0,763.6,51,2,15.2,55.6,11.5,5.1,7.7,2.3,977.7
Calverton,18.9,0,0,0,0,808.1,0,19.4,9.4,28.3,0,0,5,0,985
Campbell Park,123.3,5.4,166.7,66.7,0,951.1,0,3.3,26.8,160.9,66.7,2.7,37.8,0,982.2
Castlethorpe,110.1,2.2,18.2,36.4,0,796.6,93.6,4.5,6.7,94.4,6.7,0,2.9,0,990.5
Central Bletchley,353.6,21.6,143.6,38.5,131.5,938.1,61,10.6,41.1,0,43.6,10.4,24.2,6.7,972.5
Central Milton Keynes,233.2,9.7,255.1,234.7,137.9,964.5,35.8,19.6,75.8,201,601.6,8.1,158.9,2.7,964.9
Clifton Reynes,63.5,31.7,0,43.5,0,706.2,79.2,0,15.9,0,0,0,5,0,970
Coffee Hall,497.3,40.8,373.1,55,88.9,947.1,121.5,12.9,29,638,39.6,12.9,36.6,21.1,984.3
Cold Brayfield,255.8,0,0,0,0,732.8,55.5,0,0,0,0,0,20,0,960
Conniburrow,483,43.9,296.5,67,52.2,925.5,123.7,17.4,85.5,352.8,33.3,23.5,23.5,6,973.1
Cronwhill,267,34.1,113.2,42.2,57.4,862.7,44.7,6.6,19.9,213.1,20.4,5.7,11.7,7.5,977.4
Denbigh East,72.3,24.1,153.8,0,0,905,60.2,0,42.2,0,77.1,12,34.3,0,977.1
Downhead Park,156,9.4,47.8,43.1,0,812.2,136,3.1,17.2,65.5,3.8,20.3,7.5,4.6,982.5
Downs Barn,332.3,15.6,141.1,29.2,75.6,936.2,55.1,8.3,43.6,247.1,14.7,28,18.5,10.5,979.2
Eaglstone,294.4,19.9,207.4,22.2,86.7,953.9,181.9,18,23.7,359,65,22.8,36.2,6.9,990.8
Emberton,114,11,16.9,33.9,0,877.6,45.3,0,11,110.3,11.7,11,16.7,2.9,980
Emerson Valley,171.3,21.2,80.1,24.5,40.1,857.3,68.4,2.9,25.1,140.9,13.4,6.8,6.6,4.1,978.1
Far Bletchley,266.3,23.2,138.4,35.1,77.6,919,72.8,6.7,37.7,0,16.1,15.7,10.6,7.1,983.2
Fenny Stratford,299.3,16.4,185.2,47.6,86.7,929.4,121.5,14.8,46.6,0,57.3,8.9,30.7,14.8,970
Fishermead,474.9,71.7,399.8,37.3,76.2,942,33.9,22.7,84.8,425.3,35.6,13.7,22.4,5.2,980.8
Fullers Slade,469.5,79.1,347.2,53.2,97.1,939.1,71.6,13.2,49.4,492.6,24.6,13.2,17.1,6.5,982.3
Furzton,207.5,18.4,100.2,16.2,35.2,902.8,70.6,6.7,13.8,161.4,14,15.1,8.1,5.1,981.4
GalleyHill,234.9,46,142,49.4,0,864.3,79.7,12.1,9.7,103.9,15,7.3,15,6.3,945
Gayhurst,17.2,0,0,0,0,682.7,0,34.5,17.2,0,0,0,20,0,950
Giffard Park,134.8,9.8,41.3,27.5,0,841.9,58.4,2.5,20.8,2.5,7.7,13.5,7.2,3.1,978.5
Grange Farm,146.4,27.7,72.1,16.8,36.5,899,39.6,10.9,21.6,180.3,16.1,7.7,5.2,4.1,980.6
Great Holn,139.3,4.1,74.3,25.5,52.2,866.5,61.8,6.6,19.7,59,7,9.8,4.7,5.4,969.3
Great Linford,258.8,26,145.3,28.3,23.9,816.8,114.4,7.8,24.6,258.8,11.9,7.8,11.4,5,980.5
Greenleys,299.9,44.9,255.8,55.8,73.9,955.2,49.7,17.7,44.9,345.9,25.5,5.9,24.5,1.5,983.2
Hanslope,119.9,5.8,57.6,28.8,0,879.8,34.5,5,17.4,99.6,7.7,9.7,1.7,3,986.8
Hardmead,166.7,0,0,0,0,596.2,100.8,0,0,200,0,33.3,20,23.3,1000
Haversham/Linford,86.6,6,52.6,0,0,815.7,47.3,3,11.9,32.8,11.8,0,3.5,2.1,977.6
Heelands,327.3,34.1,207.6,46.7,62.1,924.3,78,9,28.5,285.6,22.3,6.9,12.7,8.3,986.5
