id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,in_reply_to_screen_name,in_reply_to_status_id,user_mention,hashtags,query,url,media,lat,lng
448277856721072128,https://twitter.com/andsdata/status/448277856721072128,2014-03-25 01:59:04+00:00,MT @atreloar: Attending the @BFE_Inf meeting for Work Package 4 #DataSharing ahead of #RDAPlenary. Looking at overlaps with WP5 (#OpenData),en,0,andsdata,,atreloar,DataSharing,#rdaplenary,,,,,
448278551792726016,https://twitter.com/andsdata/status/448278551792726016,2014-03-25 02:01:50+00:00,"Currently in Dublin for #RDAPlenary – MT @atreloar: riding in wet/squally Dublin &amp; gust hits, it’s good your #DublinBike weight = baby hippo",en,0,andsdata,,atreloar,RDAPlenary,#rdaplenary,,,,,
448305098951622656,https://twitter.com/taswegian/status/448305098951622656,2014-03-25 03:47:19+00:00,#RDAPlenary - argh - showing up a day late as I am still on the other side of the world #twcrpi,en,0,taswegian,,,RDAPlenary,#rdaplenary,,,,,
448333867603460096,https://twitter.com/Eudat_eu/status/448333867603460096,2014-03-25 05:41:38+00:00,@APARSENproject – @Eudat_eu – @SCIDIPES Data preservation and reuse workshop today! http://t.co/vJUr1zX3Av Co-located with the #RDAPlenary,en,1,Eudat_eu,,APARSENproject,RDAPlenary,#rdaplenary,http://bit.ly/NMSt5f,APARSENproject,,,
448335222929907712,https://twitter.com/atreloar/status/448335222929907712,2014-03-25 05:47:01+00:00,"In the battle between my melatonin intake and pre #RDAPlenary worrying, the latter is unfortunately winning...",en,0,atreloar,,,RDAPlenary,#rdaplenary,,,,53.34207054,-6.2494806
448384633097687040,https://twitter.com/ScientificData/status/448384633097687040,2014-03-25 09:03:21+00:00,"Our Honorary Academic Editor, Susanna-Assunta Sansone, will be attending the 3rd #RDAPlenary this week, and tweeting from @biosharing",en,2,ScientificData,,biosharing,RDAPlenary,#rdaplenary,,,,,
448390385086513152,https://twitter.com/natalieharrower/status/448390385086513152,2014-03-25 09:26:13+00:00,Hey #RDAPlenary participants - the sky is looking quite promising this crisp morning. http://t.co/vNeR64C5yE,en,0,natalieharrower,https://pbs.twimg.com/media/BjkAre5IYAA6jqZ.jpg,,RDAPlenary,#rdaplenary,,,,,
448390494402666496,https://twitter.com/Kate_O_Hara/status/448390494402666496,2014-03-25 09:26:39+00:00,Fundamentals of data infrastructures training as part of #RDAPlenary @CrokePark. View is fantastic! http://t.co/Pz08GAs7k2,en,1,Kate_O_Hara,https://pbs.twimg.com/media/BjkAx18IAAIO8Ik.jpg,CrokePark,RDAPlenary,#rdaplenary,,,,53.36076326,-6.2518103
448390637814296576,https://twitter.com/pampel/status/448390637814296576,2014-03-25 09:27:13+00:00,RT @natalieharrower: #RDAPlenary livestreaming and social media information now available at https://t.co/LEmSdMm7Vt http://t.co/a83rD8k1zV,en,6,pampel,https://pbs.twimg.com/media/BjWsdTJCIAAYSNt.png,natalieharrower,RDAPlenary,#rdaplenary,https://rd-alliance.org/plenary-meetings/third-plenary/plenary-3-communication-social-media.html,,,,
448391691926798336,https://twitter.com/dri_ireland/status/448391691926798336,2014-03-25 09:31:24+00:00,Happy to be kicking off #RDAPlenary with the Newcomers' session. Here's your atmosphere for the afternoon @RIAdawson http://t.co/c5mywIKaQM,en,8,dri_ireland,https://pbs.twimg.com/media/BjkB3jHIcAA2RJl.jpg,RIAdawson,RDAPlenary,#rdaplenary,,,,,
